1,INDY,-29,-19,-48
2,his.Dudeness,-23,-21,-44
3,Blutes87,-22,-20,-42
3,CleverFellow,-26,-16,-42
3,Zanetti,-27,-15,-42
6,Burn1,-25,-16,-41
6,CHI CHI RODRIGUEZ,-21,-20,-41
6,GUS,-23,-18,-41
6,Tmoes,-23,-18,-41
6,YUK1N,-20,-21,-41
11,Bear313,-23,-16,-39
11,Duckk,-21,-18,-39
13,Mau,-21,-17,-38
14,Browner,-22,-14,-36
14,ElJorge,-23,-13,-36
14,G0nz0nater,-19,-17,-36
17,SqueezyJibbZ,-20,-15,-35
18,Calassy,-19,-15,-34
18,FIRE_321,-22,-12,-34
18,RyRy2k22,-20,-14,-34
18,steven_T,-21,-13,-34
22,gopats37,-20,-13,-33
22,HBKid,-17,-16,-33
22,Rolyt,-18,-15,-33
25,Korndog,-19,-13,-32
26,Jed,-22,-9,-31
26,TIGERHOODS,-18,-13,-31
28,FugoHallarin,-18,-12,-30
29,Old-T,-15,-13,-28
29,TrippinBill,-14,-14,-28
31,B8Y,-12,-15,-27
31,Captain_Sr,-22,-5,-27
31,crowsteve,-19,-8,-27
31,Dadndan,-18,-9,-27
31,GreatGoose,-16,-11,-27
31,Ptarmigan61,-19,-8,-27
31,RaineDrop184,-11,-16,-27
31,Yoda,-15,-12,-27
39,Brad.,-13,-13,-26
39,DERBY_DAZ,-17,-9,-26
41,JacksonHoleInOne,-15,-10,-25
41,Joaquinypunto,-16,-9,-25
41,Lake180,-17,-8,-25
41,willsy13,-20,-5,-25
45,CoryDoesShots,-18,-5,-23
45,D3bb13,-15,-8,-23
45,ichibuho,-15,-8,-23
45,KCROB,-9,-14,-23
45,Matt916,-15,-8,-23
45,Monsoon,-10,-13,-23
45,SteveSkillman,-10,-13,-23
45,WaltSobchak,-14,-9,-23
53,Bartimaeus,-10,-12,-22
53,Dude_Lebowski,-15,-7,-22
53,MrTee,-16,-6,-22
53,NERD_HULK_HOGAN,-14,-8,-22
57,chileC.O.W.,-12,-9,-21
57,Emill,-16,-5,-21
57,ForRealForReal,-15,-6,-21
57,Ronsgard,-12,-9,-21
61,bogibo,-12,-8,-20
61,Caramel,-17,-3,-20
63,Autodidactic,-15,-4,-19
63,deebee64,-14,-5,-19
63,Mulligan,-17,-2,-19
63,Nitroustorm,-13,-6,-19
67,joshbenesh,-15,-3,-18
67,Nick,-15,-3,-18
69,Brian_oConner,-19,2,-17
69,Halfpint,-13,-4,-17
71,Snow,-6,-10,-16
72,Davex73,-8,-7,-15
72,Jennem,-11,-4,-15
72,Mike190,-9,-6,-15
72,Star fox,-4,-11,-15
72,StrokeLimitReached,-18,3,-15
72,WhiskerWitch,-6,-9,-15
78,Kinghenryclub,-10,-4,-14
78,Missi,-11,-3,-14
78,TheRick,-15,1,-14
81,Brit The Elder,-7,-6,-13
82,Chipdancer,-14,2,-12
82,SherlockJake,-7,-5,-12
82,Sruss22,-11,-1,-12
82,TebowTimeFTW,-12,0,-12
86,Jtee22,-9,-2,-11
86,NuttyGrandpa,-13,2,-11
86,Sackdeqb,-6,-5,-11
89,Otvormeister,-2,-8,-10
90,MaxPikachu,-5,2,-3
91,Karrrrrrdo,-5,4,-1
92,QuestPete,-5,6,1
93,AndyP1970,36,-17,19
94,DiscflingerADK,36,-12,24
95,akamiked,36,-7,29
96,ET154,36,-6,30
97,ReflectingStorms,16,31,47
