Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,Zanetti,2,2,1,2,2,2,1,2,1,2,4,2,2,2,1,2,1,3,2,2,1,2,4,2,3,2,3,2,3,2,2,1,3,3,4,3,-28,-20,-48
2,INDY,2,2,2,2,3,3,1,2,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,2,2,2,3,2,2,2,2,1,2,3,4,2,-23,-21,-44
2,his.Dudeness,2,2,2,2,2,2,1,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,4,2,2,2,1,3,4,2,-24,-20,-44
4,Browner,2,2,2,2,2,2,2,2,1,2,3,2,2,2,1,2,3,3,2,2,2,4,3,2,3,2,3,3,3,3,3,2,2,3,3,2,-25,-17,-42
5,Blutes87,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2,2,3,3,2,2,2,2,2,3,2,3,3,3,2,2,2,2,4,4,2,-22,-19,-41
6,G0nz0nater,2,2,2,2,2,2,2,3,4,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,3,3,2,2,2,1,4,5,2,-21,-19,-40
6,GUS,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,3,2,3,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,4,4,5,-24,-16,-40
8,Mau,3,2,2,2,3,2,1,2,1,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,3,4,3,3,2,2,2,3,4,4,4,-24,-15,-39
8,SteveSkillman,2,2,2,2,2,2,1,2,2,2,3,5,2,2,2,2,2,5,2,1,2,3,2,2,3,2,3,3,3,2,2,2,2,3,6,2,-20,-19,-39
8,The Master,1,2,2,2,3,2,1,2,1,3,4,2,2,3,2,2,2,3,2,2,3,2,3,2,3,1,4,3,5,2,2,2,2,4,4,2,-23,-16,-39
11,AmberWave,4,2,2,2,2,3,3,2,1,2,4,3,2,2,2,2,2,3,1,2,2,3,3,2,3,2,3,3,3,3,2,2,2,3,4,2,-19,-19,-38
11,B8Y,3,3,2,3,3,2,1,2,1,3,2,3,2,2,2,2,2,3,2,3,3,2,2,2,4,2,3,3,3,2,2,2,2,3,4,3,-21,-17,-38
11,ChiChiRodriguez,3,2,2,2,2,2,1,2,1,2,4,3,2,2,2,2,2,3,2,2,5,2,2,2,3,2,3,2,4,3,2,2,1,4,4,4,-23,-15,-38
11,GreatGoose,2,3,2,2,2,2,4,2,1,2,5,2,2,2,2,2,3,3,2,1,2,2,4,2,3,2,3,3,2,4,2,2,2,4,3,2,-19,-19,-38
11,RyRy2K22,2,2,1,2,2,2,2,2,1,2,5,2,2,2,2,2,3,3,2,3,2,3,3,3,3,3,4,2,4,2,2,2,2,3,3,3,-23,-15,-38
16,ET154,2,2,1,1,4,2,3,2,2,2,5,3,2,2,1,2,2,3,2,2,2,4,2,2,3,3,4,2,3,2,2,2,3,4,4,2,-21,-16,-37
17,Bear313,1,2,2,2,2,3,2,2,4,3,3,3,2,2,1,3,2,2,2,3,2,2,2,3,2,2,4,4,3,2,2,2,2,3,4,5,-21,-15,-36
17,Mike190,1,2,3,2,2,3,2,2,2,2,4,2,2,3,2,2,2,4,1,2,2,3,4,2,2,2,4,4,3,2,2,2,2,5,4,2,-20,-16,-36
17,Tmoes,1,2,2,1,2,2,2,3,2,3,4,2,2,3,2,1,2,3,2,3,2,2,2,2,3,2,3,4,4,3,3,2,2,4,4,4,-23,-13,-36
17,YUK1N,2,3,1,2,3,2,1,2,2,2,3,3,2,2,2,2,2,7,2,2,2,3,3,2,2,2,5,2,5,2,2,2,2,3,4,2,-19,-17,-36
21,AndyP1970,2,2,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,3,3,2,4,2,2,2,3,2,3,2,4,3,2,2,3,5,3,3,-21,-14,-35
21,CleverFellow,3,2,2,2,3,3,1,2,2,3,3,2,2,3,1,2,2,3,2,2,2,2,3,2,4,2,4,3,3,2,2,2,4,4,4,3,-21,-14,-35
21,Duckk,2,2,2,2,3,2,1,2,2,3,4,2,3,2,2,3,4,3,2,2,2,2,2,2,3,2,3,3,3,3,3,2,2,4,4,3,-18,-17,-35
21,FIRE_321,2,3,2,3,2,3,2,2,2,2,2,2,2,3,2,3,2,3,2,2,2,2,3,3,2,5,3,3,2,2,2,2,3,3,6,2,-20,-15,-35
21,Matt916,1,3,2,2,3,2,2,2,2,2,4,5,2,4,2,3,2,2,2,3,2,2,3,2,3,1,3,3,3,2,2,2,2,4,4,3,-17,-18,-35
21,Ptarmigan61,1,2,2,2,3,3,2,2,1,3,4,2,2,3,2,2,3,5,2,3,2,2,3,2,2,2,3,2,4,3,2,2,2,5,4,2,-18,-17,-35
21,Sarahloo1971,3,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,3,3,2,3,4,3,4,2,2,3,3,2,3,3,2,2,2,3,4,3,-21,-14,-35
28,DERBY_DAZ,2,2,2,2,2,3,2,3,2,2,4,2,4,4,2,2,2,5,2,3,2,2,2,2,3,3,4,3,3,2,2,2,2,3,3,3,-15,-18,-33
29,DiscflingerADK,2,2,2,2,4,2,3,2,1,2,3,3,3,4,2,2,3,3,2,3,2,3,3,2,3,3,3,3,3,2,2,2,1,4,4,4,-17,-15,-32
29,JacksonHoleInOne,3,2,1,2,2,2,3,2,2,2,6,4,2,4,2,2,2,3,2,2,2,3,3,2,3,2,3,3,4,2,2,2,2,3,4,4,-16,-16,-32
29,NERD_HULK_HOGAN,2,2,2,2,2,3,2,2,1,2,4,3,3,2,2,3,2,4,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,6,7,2,-19,-13,-32
29,StrokeLimitReached,2,2,1,2,2,4,1,3,1,2,3,4,2,3,2,2,2,3,2,3,3,4,2,2,4,4,3,3,3,4,2,2,2,4,4,2,-21,-11,-32
33,Caramel,3,2,1,2,2,2,2,3,2,2,3,2,4,2,1,2,3,4,2,2,2,2,3,4,3,2,3,2,5,2,2,2,4,4,5,4,-20,-11,-31
33,Mulligan,4,2,2,2,3,2,1,2,2,3,5,1,3,2,2,3,3,3,2,2,3,2,2,3,2,2,4,3,2,2,2,1,2,5,9,2,-17,-14,-31
33,Old-T,4,3,2,2,2,3,2,2,2,3,4,2,2,2,2,3,2,5,2,2,2,2,3,2,2,3,4,4,3,2,3,2,2,3,4,3,-15,-16,-31
33,Rolyt,2,2,2,4,2,2,4,3,1,3,5,2,3,2,2,3,2,5,2,2,2,3,3,2,2,2,4,2,3,2,2,2,2,3,5,3,-13,-18,-31
37,ElJorge,2,2,2,2,2,2,2,2,2,2,5,2,3,2,2,2,2,3,1,2,2,2,3,2,4,3,6,2,5,4,2,2,2,4,7,2,-21,-9,-30
37,Gopats37,4,2,2,2,2,3,4,2,2,2,6,2,3,3,2,2,3,3,2,3,2,3,3,2,2,3,3,3,3,2,2,2,2,4,4,2,-13,-17,-30
37,Nitroustorm,2,2,2,1,2,2,2,3,2,2,3,2,2,3,2,3,2,3,2,3,3,5,3,2,3,3,3,3,4,3,2,2,4,4,4,3,-22,-8,-30
