1,Zanetti,-28,-20,-48
2,his.Dudeness,-24,-20,-44
2,INDY,-23,-21,-44
4,Browner,-25,-17,-42
5,Blutes87,-22,-19,-41
6,GUS,-24,-16,-40
7,Mau,-24,-15,-39
7,SteveSkillman,-20,-19,-39
7,The Master,-23,-16,-39
10,AmberWave,-19,-19,-38
10,B8Y,-21,-17,-38
10,CHI CHI RODRIGUEZ,-23,-15,-38
10,GreatGoose,-19,-19,-38
10,RyRy2k22,-23,-15,-38
15,ET154,-21,-16,-37
16,Bear313,-21,-15,-36
16,Mike190,-20,-16,-36
16,Tmoes,-23,-13,-36
16,YUK1N,-19,-17,-36
20,AndyP1970,-21,-14,-35
20,CleverFellow,-21,-14,-35
20,Duckk,-18,-17,-35
20,FIRE_321,-20,-15,-35
20,Matt916,-17,-18,-35
20,Ptarmigan61,-18,-17,-35
20,Sarahloo1971,-21,-14,-35
27,DERBY_DAZ,-15,-18,-33
28,DiscflingerADK,-17,-15,-32
28,JacksonHoleInOne,-16,-16,-32
28,NERD_HULK_HOGAN,-19,-13,-32
28,StrokeLimitReached,-21,-11,-32
32,Caramel,-20,-11,-31
32,Mulligan,-17,-14,-31
32,Old-T,-15,-16,-31
32,Rolyt,-13,-18,-31
36,ElJorge,-21,-9,-30
36,gopats37,-13,-17,-30
36,ichibuho,-19,-11,-30
36,Nitroustorm,-22,-8,-30
36,NuttyGrandpa,-18,-12,-30
36,RaineDrop184,-15,-15,-30
42,Brad.,-18,-11,-29
42,Calassy,-20,-9,-29
42,deebee64,-14,-15,-29
42,steven_T,-17,-12,-29
46,FugoHallarin,-19,-9,-28
46,HBKid,-10,-18,-28
46,joshbenesh,-22,-6,-28
46,TIGERHOODS,-13,-15,-28
50,crowsteve,-13,-14,-27
50,Emill,-10,-17,-27
50,ForRealForReal,-20,-7,-27
50,Korndog,-16,-11,-27
54,akamiked,-16,-10,-26
54,Burn1,-16,-10,-26
54,Captain_Sr,-11,-15,-26
57,Sackdeqb,-17,-8,-25
57,WhiskerWitch,-12,-13,-25
59,bogibo,-7,-17,-24
59,Jennem,-16,-8,-24
61,Dude_Lebowski,-13,-10,-23
61,Iro,-10,-13,-23
61,Joaquinypunto,-14,-9,-23
61,SherlockJake,-10,-13,-23
65,chileC.O.W.,-10,-12,-22
65,Lake180,-16,-6,-22
65,Snow,-19,-3,-22
68,Halfpint,-9,-12,-21
68,HunterT,-13,-8,-21
68,Missi,-11,-10,-21
68,Monsoon,-13,-8,-21
68,TheRick,-8,-13,-21
73,Davex73,-14,-6,-20
73,weekendDJ,-13,-7,-20
73,Yoda,-16,-4,-20
76,Talisman-,-7,-12,-19
77,Star fox,-11,-7,-18
78,Autodidactic,-12,-5,-17
78,Bartimaeus,-13,-4,-17
78,D3bb13,-12,-5,-17
78,KCROB,-12,-5,-17
82,Indianchief,-8,-8,-16
83,Brit The Elder,-7,-8,-15
83,WaltSobchak,-7,-8,-15
85,Ronsgard,-8,-6,-14
86,Crudzilla,-9,-2,-11
87,cookie5,-3,-7,-10
88,QuestPete,-7,0,-7
89,brndmm,2,-8,-6
89,Otvormeister,-6,0,-6
91,MaxPikachu,-3,7,4
92,ReflectingStorms,8,7,15
93,TebowTimeFTW,9,13,22
