Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,2,2,2,2,2,1,2,3,2,2,2,1,2,2,2,1,1,3,2,2,3,2,1,3,3,3,3,3,2,2,3,3,5,3,2,4,-21,-18,-39
1,his.Dudeness,2,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,3,2,3,3,3,2,3,4,2,2,4,2,5,2,2,3,-21,-18,-39
3,Bear313,2,2,2,2,2,2,2,3,2,2,2,2,2,1,1,3,1,2,3,3,3,2,2,3,3,2,3,4,2,2,4,3,3,3,3,2,-20,-17,-37
3,Midaswell,2,2,2,2,2,1,3,3,1,2,2,1,2,1,2,2,1,2,2,2,3,3,3,3,3,2,3,3,2,2,4,3,4,2,2,6,-22,-15,-37
5,FIRE_321,3,2,4,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,2,3,2,2,3,3,2,3,5,3,4,2,2,4,-18,-18,-36
6,ForRealForReal,2,2,2,3,2,2,3,2,2,3,2,2,2,2,2,2,1,2,3,3,4,3,1,4,2,5,3,2,2,2,4,2,3,2,2,3,-17,-17,-34
7,BaruMonkey,2,1,3,2,2,2,2,1,2,3,4,1,2,2,1,2,1,2,2,2,2,2,1,4,2,2,3,4,2,3,3,3,6,4,4,5,-20,-13,-33
8,TrickyDicky,2,2,2,2,2,2,2,3,2,2,2,1,3,2,2,3,2,2,2,3,3,2,1,4,3,2,3,3,2,3,5,3,4,4,2,3,-17,-15,-32
9,Burn1,2,2,3,2,2,2,3,2,2,2,3,1,2,2,2,2,1,3,2,3,3,2,3,4,3,2,3,3,2,3,4,3,3,2,3,5,-17,-14,-31
9,Mau,2,2,2,3,2,3,2,2,2,2,2,1,2,2,2,2,1,2,2,3,3,2,1,4,3,2,4,4,2,2,4,3,5,3,2,6,-19,-12,-31
9,McLovin,2,2,3,3,2,1,3,3,2,2,2,2,2,2,2,2,1,2,2,2,3,3,1,5,3,2,3,3,2,3,5,3,4,3,3,3,-17,-14,-31
9,SD_Diver,2,3,2,2,3,2,3,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,4,4,2,3,5,2,2,5,2,4,2,2,5,-17,-14,-31
9,StrokeLimitReached,2,3,3,2,2,2,3,2,2,3,2,2,2,2,1,2,1,2,3,2,3,2,1,3,2,3,3,3,2,3,4,2,6,5,2,4,-17,-14,-31
9,Zanetti,2,2,2,2,3,1,2,3,2,2,2,2,3,2,2,2,1,3,4,2,3,2,2,5,3,2,3,4,2,2,3,3,4,2,2,5,-17,-14,-31
15,FainNeinGudTwain,2,2,2,2,2,2,3,3,3,2,2,1,2,2,2,2,1,3,2,2,3,2,3,3,2,2,3,4,3,2,6,3,3,4,2,5,-17,-13,-30
15,Stewie,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,3,2,3,4,3,2,3,3,2,2,3,3,4,2,2,7,-15,-15,-30
17,Captain_Sr,2,1,3,2,2,2,5,2,2,2,4,2,2,1,2,2,1,1,3,2,3,2,3,3,2,2,4,5,2,3,4,3,4,2,4,4,-17,-12,-29
18,4whlr,2,2,3,4,2,2,3,3,2,2,2,2,2,2,2,2,1,3,2,2,3,3,1,4,4,2,3,4,2,3,3,3,4,4,3,3,-14,-14,-28
18,Sackdeqb,2,2,2,3,3,2,2,3,2,2,2,2,2,2,1,2,1,2,3,2,4,2,1,4,5,2,3,3,2,2,4,2,4,4,4,6,-18,-10,-28
