Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,INDY,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,3,1,2,2,2,3,2,4,2,3,2,2,1,2,3,2,4,1,4,4,-30,-16,-46
2,ElJorge,2,3,2,2,2,2,2,4,2,1,2,2,1,2,2,2,3,1,2,3,2,3,2,3,2,3,2,3,2,2,3,2,2,2,2,2,-26,-19,-45
3,GUS,2,2,2,2,2,2,2,3,2,1,2,2,2,2,2,2,3,2,2,2,2,3,3,3,3,2,2,2,2,2,3,2,3,1,2,4,-26,-18,-44
3,Mau,2,3,2,1,3,2,2,3,2,1,3,2,2,3,2,2,2,1,2,2,2,3,3,2,2,2,2,3,3,2,3,2,3,2,2,2,-25,-19,-44
5,Bear313,2,2,2,2,2,2,2,3,2,1,2,2,2,4,2,1,2,1,2,2,2,3,3,2,2,2,3,4,2,2,3,2,4,2,2,3,-27,-16,-43
5,ET154,2,2,2,2,2,2,2,3,2,1,2,4,2,2,2,2,2,1,2,2,2,3,3,3,3,3,3,3,2,2,3,2,3,2,1,2,-26,-17,-43
7,Burn1,2,2,2,2,2,2,3,3,3,1,2,2,2,2,3,2,3,2,2,2,3,3,2,3,3,2,2,2,2,2,2,2,3,3,2,2,-23,-19,-42
7,SqueezyJibbz,2,3,3,2,3,2,2,3,2,1,2,2,2,3,2,1,3,2,1,2,2,3,3,2,3,3,2,3,2,2,3,3,2,2,1,3,-23,-19,-42
7,his.Dudeness,2,2,2,2,2,2,3,4,3,1,2,2,2,2,2,3,3,1,2,2,2,3,3,2,3,2,2,3,2,2,2,2,4,2,2,2,-23,-19,-42
10,HBKid,2,3,2,1,2,2,2,2,2,1,3,2,2,2,2,2,4,2,2,2,2,3,2,3,3,4,3,2,2,2,2,3,3,2,2,4,-25,-15,-40
11,Blutes87,2,3,2,2,2,2,2,3,1,1,2,2,2,3,2,1,3,4,2,2,3,3,3,2,2,3,3,3,2,2,3,3,4,1,2,3,-24,-15,-39
