Pos,Player,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,Easy,Hard,Total Score
1,CleverFellow,2,2,1,2,2,2,1,2,2,2,1,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,4,3,4,2,2,2,2,3,4,4,-19,-18,-37
1,Midaswell,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,4,2,2,2,3,1,4,4,3,3,-17,-20,-37
3,Calassy,2,2,2,2,2,2,1,2,2,1,2,3,3,2,2,3,2,3,2,2,3,3,3,2,2,1,3,3,2,3,2,2,1,4,4,2,-16,-20,-36
3,his.Dudeness,2,2,1,4,2,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1,2,3,2,2,3,2,3,2,3,3,2,2,2,4,4,3,-17,-19,-36
5,B8Y,2,2,1,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,3,2,2,3,3,1,3,3,3,2,2,2,2,3,4,2,-14,-20,-34
5,BANKERPOPS,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,3,3,3,2,3,2,2,3,2,2,2,3,3,3,2,2,2,2,3,5,2,-15,-19,-34
5,Burn1,2,2,2,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,4,2,-13,-21,-34
5,YUK1N,2,2,1,2,3,2,2,2,2,2,2,2,2,3,2,2,3,2,2,1,3,3,2,2,2,3,3,2,3,4,2,2,2,3,3,4,-16,-18,-34
5,Zanetti,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,2,3,2,1,2,2,3,3,2,3,2,5,3,3,2,2,2,2,4,4,2,-17,-17,-34
10,AndyP1970,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,3,4,2,3,2,2,2,5,4,3,2,-18,-15,-33
10,Bear313,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,3,2,2,2,2,3,3,2,3,4,3,3,4,2,2,2,2,4,4,4,-20,-13,-33
10,DiscflingerADK,2,2,3,2,2,2,2,2,3,2,1,2,2,3,2,2,4,2,2,2,2,2,3,2,2,2,3,3,3,3,2,2,3,3,4,2,-14,-19,-33
10,Dude_Lebowski,2,2,1,3,3,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,3,3,3,2,5,2,2,3,2,2,2,3,4,2,-15,-18,-33
10,SD_Diver,2,2,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,3,1,5,2,3,2,3,3,2,2,2,3,4,2,-14,-19,-33
15,Blutes87,3,3,2,2,2,2,1,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,5,4,2,-14,-18,-32
15,Froman,2,3,2,4,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,3,3,3,1,3,3,2,2,2,3,3,3,4,2,-13,-19,-32
15,Rolyt,2,1,1,2,2,3,2,2,2,2,1,2,2,2,2,3,2,3,2,2,4,2,2,2,2,2,3,3,2,3,2,2,1,5,8,3,-18,-14,-32
18,Browner,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,3,3,1,2,2,3,2,2,3,2,3,3,3,4,2,2,2,3,4,4,-14,-17,-31
19,4whlr,2,2,3,3,3,2,1,2,2,2,2,2,2,2,2,3,3,2,1,3,6,2,3,2,2,2,3,3,3,2,2,2,2,4,4,2,-14,-16,-30
19,ElJorge,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,4,3,4,5,2,3,3,2,3,2,2,2,3,6,2,-19,-11,-30
19,INDY,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,2,3,3,4,2,2,3,3,3,2,2,2,2,3,6,2,-14,-16,-30
19,Mulligan,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,2,2,2,2,4,2,2,2,3,3,4,2,2,2,2,3,4,4,-13,-17,-30
19,Sackdeqb,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,2,3,3,4,3,2,2,3,4,4,3,-15,-15,-30
19,StrokeLimitReached,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,2,2,3,2,1,2,5,3,2,3,2,3,4,3,2,2,3,2,4,6,3,-18,-12,-30
25,FIRE_321,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,3,4,2,2,2,1,3,2,2,4,2,3,3,4,2,2,2,5,4,4,3,-15,-14,-29
